configuration,epoch,optimizer_update,mean_total_training_loss,mean_scene_loss,mean_ip_loss,ip_loss_semantics,ending_learning_rate,validation_retrieval_loss,mean_source_separation_margin,patience,final_selected_checkpoint
cfg_d128,20,1520,2.160148174,2.136524159,0.02362401517,derived_weighted,0.0009931806517,0.2957615256,0.3151455522,0,false
cfg_d128,25,1900,1.805445406,1.783781833,0.02166357229,derived_weighted,0.000984700133,0.2806871831,0.3230354786,0,false
cfg_d128,30,2280,1.584671644,1.564792228,0.01987941579,derived_weighted,0.0009729086209,0.2300852984,0.3420951962,0,false
cfg_d128,35,2660,1.444535952,1.425611218,0.01892473447,derived_weighted,0.0009578866633,0.2190468162,0.3463151455,0,false
cfg_d128,40,3040,1.334862284,1.316865266,0.01799701766,derived_weighted,0.0009397368756,0.1987042278,0.3554130197,0,false
cfg_d128,45,3420,1.251600529,1.234299973,0.01730055558,derived_weighted,0.0009185832391,0.2036346644,0.3550335765,1,false
cfg_d128,50,3800,1.183901529,1.166487479,0.01741404941,derived_weighted,0.0008945702547,0.1920196563,0.3631524742,0,false
cfg_d128,55,4180,1.12752032,1.110808323,0.01671199704,derived_weighted,0.0008678619553,0.188272953,0.3663989604,0,false
cfg_d128,60,4560,1.081017517,1.064773194,0.016244323,derived_weighted,0.0008386407858,0.186022222,0.3651925623,0,false
cfg_d128,65,4940,1.03450131,1.018740239,0.01576107066,derived_weighted,0.0008071063563,0.1821962148,0.3705610931,0,false
cfg_d128,70,5320,0.9975377742,0.9821176832,0.015420091,derived_weighted,0.0007734740791,0.1817289889,0.3699143231,0,false
cfg_d128,75,5700,0.9654128738,0.9502115474,0.01520132642,derived_weighted,0.0007379736965,0.1806139201,0.3713059127,0,false
cfg_d128,80,6080,0.9358567926,0.9209148016,0.014941991,derived_weighted,0.0007008477123,0.1783580035,0.3726287782,0,false
cfg_d128,85,6460,0.9124081618,0.8976243912,0.01478377063,derived_weighted,0.0006623497346,0.1765069515,0.3754689395,0,true
cfg_d128,90,6840,0.886750956,0.8721080019,0.01464295403,derived_weighted,0.0006227427436,0.1784642935,0.3748271167,1,false
cfg_d128,95,7220,0.8671791303,0.8527829269,0.01439620335,derived_weighted,0.0005822972951,0.1773409247,0.3752059042,2,false
cfg_d128,100,7600,0.8486188267,0.8344860384,0.01413278831,derived_weighted,0.0005412896727,0.1811893582,0.3728397489,3,false
cfg_d128,105,7980,0.8326006281,0.8185299615,0.01407066662,derived_weighted,0.0005,0.1782035232,0.3755355179,4,false
cfg_k2,5,380,6.448350358,5.777891701,0.6704586569,derived_weighted,0.0005,1.938539982,0.1025266349,0,false
cfg_k2,10,760,4.432000864,4.354972443,0.07702842072,derived_weighted,0.001,1.203474402,0.1605324,0,false
cfg_k2,15,1140,3.459175515,3.419183598,0.03999191711,derived_weighted,0.0009982922465,0.8279708028,0.2025410086,0,false
cfg_k2,20,1520,2.824802365,2.791068371,0.03373399408,derived_weighted,0.0009931806517,0.721296072,0.2184732258,0,false
cfg_k2,25,1900,2.420109488,2.390235169,0.02987431884,derived_weighted,0.000984700133,0.6123924851,0.2364012152,0,false
cfg_k2,30,2280,2.17292732,2.145290714,0.02763660613,derived_weighted,0.0009729086209,0.5293378234,0.2499995828,0,false
cfg_k2,35,2660,1.986854758,1.960423847,0.02643091114,derived_weighted,0.0009578866633,0.5370236039,0.2532352507,1,false
cfg_k2,40,3040,1.85388996,1.828559113,0.02533084719,derived_weighted,0.0009397368756,0.4935039282,0.2597520351,0,false
cfg_k2,45,3420,1.74165025,1.716702347,0.02494790272,derived_weighted,0.0009185832391,0.4868229926,0.261742413,0,false
cfg_k2,50,3800,1.651142577,1.627532056,0.02361052162,derived_weighted,0.0008945702547,0.4678973258,0.2662826478,0,false
cfg_k2,55,4180,1.581948607,1.55892055,0.02302805656,derived_weighted,0.0008678619553,0.4368824363,0.2731703818,0,false
cfg_k2,60,4560,1.517062721,1.494492035,0.02257068596,derived_weighted,0.0008386407858,0.4391345084,0.2743159831,1,false
cfg_k2,65,4940,1.455697104,1.433377471,0.02231963308,derived_weighted,0.0008071063563,0.4167315662,0.2781397998,0,false
cfg_k2,70,5320,1.404585759,1.382787052,0.02179870731,derived_weighted,0.0007734740791,0.401512444,0.2814110219,0,false
cfg_k2,75,5700,1.363516325,1.342162029,0.02135429633,derived_weighted,0.0007379736965,0.4101785719,0.2810320556,1,false
cfg_k2,80,6080,1.324914688,1.303654578,0.02126010939,derived_weighted,0.0007008477123,0.380626142,0.286324054,0,false
cfg_k2,85,6460,1.288306636,1.267702604,0.02060403196,derived_weighted,0.0006623497346,0.3961651623,0.2835133374,1,false
cfg_k2,90,6840,1.259353082,1.239453891,0.01989919073,derived_weighted,0.0006227427436,0.3956800103,0.2841443717,2,false
cfg_k2,95,7220,1.226738896,1.206770703,0.01996819346,derived_weighted,0.0005822972951,0.3840337098,0.2872301936,3,false
cfg_k2,100,7600,1.198242448,1.17840232,0.01984012848,derived_weighted,0.0005412896727,0.3710234165,0.2891910076,0,false
cfg_k2,105,7980,1.181364719,1.161805742,0.01955897745,derived_weighted,0.0005,0.3890425861,0.286074549,1,false
cfg_k2,110,8360,1.154649126,1.1351829,0.0194662251,derived_weighted,0.0004587103273,0.3644936383,0.2913429141,0,true
